WEO_Country_Group_Code,WEO_Subject_Code,Year,Value
123,NGSD_NGDP,1980,25.913
998,NGSD_NGDP,1980,23.104
510,NGSD_NGDP,1980,21.185
200,NGSD_NGDP,1980,24.565
505,NGSD_NGDP,1980,24.244
903,NGSD_NGDP,1980,24.23
205,NGSD_NGDP,1980,20.815
400,NGSD_NGDP,1980,35.706
603,NGSD_NGDP,1980,17.911
1,NID_NGDP,1980,26.601
110,NID_NGDP,1980,26.496
163,NID_NGDP,1980,
119,NID_NGDP,1980,26.279
123,NID_NGDP,1980,28.654
998,NID_NGDP,1980,27.517
510,NID_NGDP,1980,30.675
200,NID_NGDP,1980,26.96
505,NID_NGDP,1980,29.039
903,NID_NGDP,1980,
205,NID_NGDP,1980,23.76
400,NID_NGDP,1980,28.558
603,NID_NGDP,1980,26.444
1,PCPIPCH,1980,17.282
110,PCPIPCH,1980,13.674
163,PCPIPCH,1980,
119,PCPIPCH,1980,12.451
123,PCPIPCH,1980,25.571
998,PCPIPCH,1980,11.999
510,PCPIPCH,1980,16.635
200,PCPIPCH,1980,26.622
505,PCPIPCH,1980,
903,PCPIPCH,1980,28.945
205,PCPIPCH,1980,49.862
400,PCPIPCH,1980,11.895
603,PCPIPCH,1980,
1,PPPPC,1980,
110,PPPPC,1980,10426.627
163,PPPPC,1980,
119,PPPPC,1980,11243.209
123,PPPPC,1980,6759.027
998,PPPPC,1980,9758.207
510,PPPPC,1980,1498.945
200,PPPPC,1980,1503.054
505,PPPPC,1980,529.988
903,PPPPC,1980,4541.08
205,PPPPC,1980,4742.475
400,PPPPC,1980,3960.446
603,PPPPC,1980,1305.681
1,PPPSH,1980,
110,PPPSH,1980,64.774
163,PPPSH,1980,
119,PPPSH,1980,51.978
123,PPPSH,1980,5.746
998,PPPSH,1980,27.695
510,PPPSH,1980,2.932
200,PPPSH,1980,35.226
505,PPPSH,1980,8.48
903,PPPSH,1980,
205,PPPSH,1980,12.304
400,PPPSH,1980,7.548
603,PPPSH,1980,2.59
1,TM_RPCH,1980,1.53
110,TM_RPCH,1980,-0.936
163,TM_RPCH,1980,2.767
119,TM_RPCH,1980,-2.208
123,TM_RPCH,1980,
998,TM_RPCH,1980,
510,TM_RPCH,1980,8.456
200,TM_RPCH,1980,
505,TM_RPCH,1980,9.677
903,TM_RPCH,1980,
205,TM_RPCH,1980,
400,TM_RPCH,1980,6.666
603,TM_RPCH,1980,
1,TX_RPCH,1980,4.708
110,TX_RPCH,1980,6.052
163,TX_RPCH,1980,3.659
119,TX_RPCH,1980,6.401
123,TX_RPCH,1980,
998,TX_RPCH,1980,
510,TX_RPCH,1980,8.304
200,TX_RPCH,1980,-0.545
505,TX_RPCH,1980,7.972
903,TX_RPCH,1980,
205,TX_RPCH,1980,
400,TX_RPCH,1980,-8.015
603,TX_RPCH,1980,
1,BCA_NGDPD,1981,
110,BCA_NGDPD,1981,-0.657
163,BCA_NGDPD,1981,
119,BCA_NGDPD,1981,-0.256
123,BCA_NGDPD,1981,
998,BCA_NGDPD,1981,-1.93
510,BCA_NGDPD,1981,-4.032
200,BCA_NGDPD,1981,-0.827
505,BCA_NGDPD,1981,
903,BCA_NGDPD,1981,-2.914
205,BCA_NGDPD,1981,-4.841
400,BCA_NGDPD,1981,9.989
603,BCA_NGDPD,1981,-3.884
1,GGR_NGDP,1981,
110,GGR_NGDP,1981,
163,GGR_NGDP,1981,
119,GGR_NGDP,1981,
123,GGR_NGDP,1981,
998,GGR_NGDP,1981,
510,GGR_NGDP,1981,
200,GGR_NGDP,1981,
505,GGR_NGDP,1981,
903,GGR_NGDP,1981,
205,GGR_NGDP,1981,
400,GGR_NGDP,1981,
603,GGR_NGDP,1981,
1,GGSB_NPGDP,1981,
110,GGSB_NPGDP,1981,
163,GGSB_NPGDP,1981,
119,GGSB_NPGDP,1981,
123,GGSB_NPGDP,1981,
998,GGSB_NPGDP,1981,
510,GGSB_NPGDP,1981,
200,GGSB_NPGDP,1981,
505,GGSB_NPGDP,1981,
903,GGSB_NPGDP,1981,
205,GGSB_NPGDP,1981,
400,GGSB_NPGDP,1981,
603,GGSB_NPGDP,1981,
1,GGX_NGDP,1981,
110,GGX_NGDP,1981,
163,GGX_NGDP,1981,
119,GGX_NGDP,1981,
123,GGX_NGDP,1981,
998,GGX_NGDP,1981,
510,GGX_NGDP,1981,
200,GGX_NGDP,1981,
505,GGX_NGDP,1981,
903,GGX_NGDP,1981,
205,GGX_NGDP,1981,
400,GGX_NGDP,1981,
603,GGX_NGDP,1981,
1,GGXWDG_NGDP,1981,
110,GGXWDG_NGDP,1981,
163,GGXWDG_NGDP,1981,
119,GGXWDG_NGDP,1981,
123,GGXWDG_NGDP,1981,
998,GGXWDG_NGDP,1981,
510,GGXWDG_NGDP,1981,
200,GGXWDG_NGDP,1981,
505,GGXWDG_NGDP,1981,
903,GGXWDG_NGDP,1981,
205,GGXWDG_NGDP,1981,
400,GGXWDG_NGDP,1981,
603,GGXWDG_NGDP,1981,
1,LUR,1981,
110,LUR,1981,6.331
163,LUR,1981,
119,LUR,1981,6.372
123,LUR,1981,4.18
998,LUR,1981,
510,LUR,1981,
200,LUR,1981,
505,LUR,1981,
903,LUR,1981,
205,LUR,1981,
400,LUR,1981,
603,LUR,1981,
1,NGDP_RPCH,1981,2.01
110,NGDP_RPCH,1981,1.83
163,NGDP_RPCH,1981,
119,NGDP_RPCH,1981,1.812
123,NGDP_RPCH,1981,4.159
998,NGDP_RPCH,1981,-0.197
510,NGDP_RPCH,1981,6.493
200,NGDP_RPCH,1981,2.34
505,NGDP_RPCH,1981,5.773
903,NGDP_RPCH,1981,-0.563
205,NGDP_RPCH,1981,1.435
400,NGDP_RPCH,1981,1.038
603,NGDP_RPCH,1981,
1,NGSD_NGDP,1981,23.419
110,NGSD_NGDP,1981,23.419
163,NGSD_NGDP,1981,
119,NGSD_NGDP,1981,23.525
123,NGSD_NGDP,1981,24.885
998,NGSD_NGDP,1981,21.143
510,NGSD_NGDP,1981,22.572
200,NGSD_NGDP,1981,23.42
505,NGSD_NGDP,1981,24.171
903,NGSD_NGDP,1981,22.744
205,NGSD_NGDP,1981,19.358
400,NGSD_NGDP,1981,34.012
603,NGSD_NGDP,1981,15.628
1,NID_NGDP,1981,25.979
110,NID_NGDP,1981,25.775
163,NID_NGDP,1981,
119,NID_NGDP,1981,25.747
123,NID_NGDP,1981,27.537
998,NID_NGDP,1981,24.938
510,NID_NGDP,1981,34.312
200,NID_NGDP,1981,26.638
505,NID_NGDP,1981,29.071
903,NID_NGDP,1981,
205,NID_NGDP,1981,23.911
400,NID_NGDP,1981,26.689
603,NID_NGDP,1981,28.16
1,PCPIPCH,1981,15.018
110,PCPIPCH,1981,11.121
163,PCPIPCH,1981,
119,PCPIPCH,1981,10.344
123,PCPIPCH,1981,15.878
998,PCPIPCH,1981,12.138
510,PCPIPCH,1981,12.001
200,PCPIPCH,1981,23.511
505,PCPIPCH,1981,11.462
903,PCPIPCH,1981,16.991
205,PCPIPCH,1981,51.505
400,PCPIPCH,1981,11.187
603,PCPIPCH,1981,
1,PPPPC,1981,
110,PPPPC,1981,11528.772
163,PPPPC,1981,
119,PPPPC,1981,12444.553
123,PPPPC,1981,7597.304
998,PPPPC,1981,10603.102
510,PPPPC,1981,1710.172
200,PPPPC,1981,1643.573
505,PPPPC,1981,602.353
903,PPPPC,1981,4862.634
205,PPPPC,1981,5123.759
400,PPPPC,1981,4220.925
603,PPPPC,1981,1433.863
1,PPPSH,1981,
110,PPPSH,1981,64.612
163,PPPSH,1981,
119,PPPSH,1981,51.845
123,PPPSH,1981,5.86
998,PPPSH,1981,27.069
510,PPPSH,1981,3.059
200,PPPSH,1981,35.388
505,PPPSH,1981,8.789
903,PPPSH,1981,
205,PPPSH,1981,12.185
400,PPPSH,1981,7.62
603,PPPSH,1981,2.618
1,TM_RPCH,1981,2.28
110,TM_RPCH,1981,0.017
163,TM_RPCH,1981,-1.993
119,TM_RPCH,1981,0.08
123,TM_RPCH,1981,2.449
998,TM_RPCH,1981,
510,TM_RPCH,1981,13.645
200,TM_RPCH,1981,
505,TM_RPCH,1981,13.612
903,TM_RPCH,1981,
205,TM_RPCH,1981,
400,TM_RPCH,1981,16.893
603,TM_RPCH,1981,
1,TX_RPCH,1981,4.602
110,TX_RPCH,1981,4.94
163,TX_RPCH,1981,6.229
119,TX_RPCH,1981,5.156
123,TX_RPCH,1981,4.791
998,TX_RPCH,1981,
510,TX_RPCH,1981,-5.074
200,TX_RPCH,1981,3.321
505,TX_RPCH,1981,-8.007
903,TX_RPCH,1981,
205,TX_RPCH,1981,
400,TX_RPCH,1981,9.038
603,TX_RPCH,1981,
1,BCA_NGDPD,1982,
110,BCA_NGDPD,1982,-0.467
163,BCA_NGDPD,1982,
119,BCA_NGDPD,1982,-0.133
123,BCA_NGDPD,1982,
998,BCA_NGDPD,1982,-1.201
510,BCA_NGDPD,1982,-6.077
200,BCA_NGDPD,1982,-1.908
505,BCA_NGDPD,1982,
903,BCA_NGDPD,1982,-0.809
205,BCA_NGDPD,1982,-4.912
400,BCA_NGDPD,1982,4.07
603,BCA_NGDPD,1982,-3.125
1,GGR_NGDP,1982,
110,GGR_NGDP,1982,
163,GGR_NGDP,1982,
119,GGR_NGDP,1982,
123,GGR_NGDP,1982,
998,GGR_NGDP,1982,
510,GGR_NGDP,1982,
200,GGR_NGDP,1982,
505,GGR_NGDP,1982,
903,GGR_NGDP,1982,
205,GGR_NGDP,1982,
400,GGR_NGDP,1982,
603,GGR_NGDP,1982,
1,GGSB_NPGDP,1982,
110,GGSB_NPGDP,1982,
163,GGSB_NPGDP,1982,
119,GGSB_NPGDP,1982,
123,GGSB_NPGDP,1982,
998,GGSB_NPGDP,1982,
510,GGSB_NPGDP,1982,
200,GGSB_NPGDP,1982,
505,GGSB_NPGDP,1982,
903,GGSB_NPGDP,1982,
205,GGSB_NPGDP,1982,
400,GGSB_NPGDP,1982,
603,GGSB_NPGDP,1982,
1,GGX_NGDP,1982,
110,GGX_NGDP,1982,
163,GGX_NGDP,1982,
119,GGX_NGDP,1982,
123,GGX_NGDP,1982,
998,GGX_NGDP,1982,
510,GGX_NGDP,1982,
200,GGX_NGDP,1982,
505,GGX_NGDP,1982,
903,GGX_NGDP,1982,
205,GGX_NGDP,1982,
400,GGX_NGDP,1982,
603,GGX_NGDP,1982,
1,GGXWDG_NGDP,1982,
110,GGXWDG_NGDP,1982,
163,GGXWDG_NGDP,1982,
119,GGXWDG_NGDP,1982,
123,GGXWDG_NGDP,1982,
998,GGXWDG_NGDP,1982,
510,GGXWDG_NGDP,1982,
200,GGXWDG_NGDP,1982,
505,GGXWDG_NGDP,1982,
903,GGXWDG_NGDP,1982,
205,GGXWDG_NGDP,1982,
400,GGXWDG_NGDP,1982,
603,GGXWDG_NGDP,1982,
1,LUR,1982,
110,LUR,1982,7.598
163,LUR,1982,
119,LUR,1982,7.777
123,LUR,1982,4.58
998,LUR,1982,
510,LUR,1982,
200,LUR,1982,
505,LUR,1982,
903,LUR,1982,
205,LUR,1982,
400,LUR,1982,
603,LUR,1982,
1,NGDP_RPCH,1982,0.747
110,NGDP_RPCH,1982,0.236
163,NGDP_RPCH,1982,
119,NGDP_RPCH,1982,-0.057
123,NGDP_RPCH,1982,2.189
998,NGDP_RPCH,1982,0.621
510,NGDP_RPCH,1982,3.85
200,NGDP_RPCH,1982,1.673
505,NGDP_RPCH,1982,5.023
903,NGDP_RPCH,1982,1.386
205,NGDP_RPCH,1982,-0.425
400,NGDP_RPCH,1982,1.455
603,NGDP_RPCH,1982,
1,NGSD_NGDP,1982,22.113
110,NGSD_NGDP,1982,22.438
163,NGSD_NGDP,1982,
119,NGSD_NGDP,1982,22.398
123,NGSD_NGDP,1982,24.103
998,NGSD_NGDP,1982,20.931
510,NGSD_NGDP,1982,20.236
200,NGSD_NGDP,1982,21.056
505,NGSD_NGDP,1982,24.289
903,NGSD_NGDP,1982,23.909
205,NGSD_NGDP,1982,17.09
400,NGSD_NGDP,1982,25.02
603,NGSD_NGDP,1982,12.581
1,NID_NGDP,1982,24.582
110,NID_NGDP,1982,24.253
163,NID_NGDP,1982,
119,NID_NGDP,1982,24.035
123,NID_NGDP,1982,26.794
998,NID_NGDP,1982,24.361
510,NID_NGDP,1982,33.647
200,NID_NGDP,1982,25.71
505,NID_NGDP,1982,28.361
903,NID_NGDP,1982,
205,NID_NGDP,1982,22.121
400,NID_NGDP,1982,26.843
603,NID_NGDP,1982,23.912
1,PCPIPCH,1982,14.283
110,PCPIPCH,1982,8.408
163,PCPIPCH,1982,
119,PCPIPCH,1982,7.354
123,PCPIPCH,1982,13.058
998,PCPIPCH,1982,14.561
510,PCPIPCH,1982,7.815
200,PCPIPCH,1982,27.121
505,PCPIPCH,1982,8.627
903,PCPIPCH,1982,36.371
205,PCPIPCH,1982,63.379
400,PCPIPCH,1982,9.605
603,PCPIPCH,1982,
1,PPPPC,1982,
110,PPPPC,1982,12181.924
163,PPPPC,1982,
119,PPPPC,1982,13124.281
123,PPPPC,1982,8125.406
998,PPPPC,1982,11287.865
510,PPPPC,1982,1846.166
200,PPPPC,1982,1728.478
505,PPPPC,1982,658.512
903,PPPPC,1982,5163.348
205,PPPPC,1982,5295.889
400,PPPPC,1982,4323.12
603,PPPPC,1982,1487.214
1,PPPSH,1982,
110,PPPSH,1982,64.407
163,PPPSH,1982,
119,PPPSH,1982,51.532
123,PPPSH,1982,5.953
998,PPPSH,1982,27.091
510,PPPSH,1982,3.16
200,PPPSH,1982,35.593
505,PPPSH,1982,9.178
903,PPPSH,1982,
205,PPPSH,1982,12.062
400,PPPSH,1982,7.527
603,PPPSH,1982,2.619
1,TM_RPCH,1982,-1.611
110,TM_RPCH,1982,-0.351
163,TM_RPCH,1982,0.805
119,TM_RPCH,1982,-0.747
123,TM_RPCH,1982,0.213
998,TM_RPCH,1982,
510,TM_RPCH,1982,2.753
200,TM_RPCH,1982,
505,TM_RPCH,1982,1.947
903,TM_RPCH,1982,
205,TM_RPCH,1982,
400,TM_RPCH,1982,1.757
603,TM_RPCH,1982,
1,TX_RPCH,1982,-1.495
110,TX_RPCH,1982,-0.953
163,TX_RPCH,1982,0.962
119,TX_RPCH,1982,-1.501
123,TX_RPCH,1982,-0.447
998,TX_RPCH,1982,
510,TX_RPCH,1982,-3.193
200,TX_RPCH,1982,-3.441
505,TX_RPCH,1982,-3.315
903,TX_RPCH,1982,
205,TX_RPCH,1982,
400,TX_RPCH,1982,-8.253
603,TX_RPCH,1982,
1,BCA_NGDPD,1983,
110,BCA_NGDPD,1983,-0.374
163,BCA_NGDPD,1983,
119,BCA_NGDPD,1983,-0.232
123,BCA_NGDPD,1983,
998,BCA_NGDPD,1983,-0.186
510,BCA_NGDPD,1983,-7.066
200,BCA_NGDPD,1983,-1.694
505,BCA_NGDPD,1983,
903,BCA_NGDPD,1983,-0.911
205,BCA_NGDPD,1983,0.04
400,BCA_NGDPD,1983,-1.792
603,BCA_NGDPD,1983,-1.69
1,GGR_NGDP,1983,
110,GGR_NGDP,1983,
163,GGR_NGDP,1983,
119,GGR_NGDP,1983,
123,GGR_NGDP,1983,
998,GGR_NGDP,1983,
510,GGR_NGDP,1983,
200,GGR_NGDP,1983,
505,GGR_NGDP,1983,
903,GGR_NGDP,1983,
205,GGR_NGDP,1983,
400,GGR_NGDP,1983,
603,GGR_NGDP,1983,
1,GGSB_NPGDP,1983,
110,GGSB_NPGDP,1983,
163,GGSB_NPGDP,1983,
119,GGSB_NPGDP,1983,
123,GGSB_NPGDP,1983,
998,GGSB_NPGDP,1983,
510,GGSB_NPGDP,1983,
200,GGSB_NPGDP,1983,
505,GGSB_NPGDP,1983,
903,GGSB_NPGDP,1983,
205,GGSB_NPGDP,1983,
400,GGSB_NPGDP,1983,
603,GGSB_NPGDP,1983,
1,GGX_NGDP,1983,
110,GGX_NGDP,1983,
163,GGX_NGDP,1983,
119,GGX_NGDP,1983,
123,GGX_NGDP,1983,
998,GGX_NGDP,1983,
510,GGX_NGDP,1983,
200,GGX_NGDP,1983,
505,GGX_NGDP,1983,
903,GGX_NGDP,1983,
205,GGX_NGDP,1983,
400,GGX_NGDP,1983,
603,GGX_NGDP,1983,
1,GGXWDG_NGDP,1983,
110,GGXWDG_NGDP,1983,
163,GGXWDG_NGDP,1983,
119,GGXWDG_NGDP,1983,
123,GGXWDG_NGDP,1983,
998,GGXWDG_NGDP,1983,
510,GGXWDG_NGDP,1983,
200,GGXWDG_NGDP,1983,
505,GGXWDG_NGDP,1983,
903,GGXWDG_NGDP,1983,
205,GGXWDG_NGDP,1983,
400,GGXWDG_NGDP,1983,
603,GGXWDG_NGDP,1983,
1,LUR,1983,
110,LUR,1983,7.918
163,LUR,1983,
119,LUR,1983,7.938
123,LUR,1983,5.269
998,LUR,1983,
510,LUR,1983,
200,LUR,1983,
505,LUR,1983,
903,LUR,1983,
205,LUR,1983,
400,LUR,1983,
603,LUR,1983,
1,NGDP_RPCH,1983,2.717
110,NGDP_RPCH,1983,3.177
163,NGDP_RPCH,1983,
119,NGDP_RPCH,1983,3.327
123,NGDP_RPCH,1983,3.962
998,NGDP_RPCH,1983,1.746
510,NGDP_RPCH,1983,4.488
200,NGDP_RPCH,1983,1.869
505,NGDP_RPCH,1983,6.918
903,NGDP_RPCH,1983,4.578
205,NGDP_RPCH,1983,-3.03
400,NGDP_RPCH,1983,1.921
603,NGDP_RPCH,1983,
1,NGSD_NGDP,1983,21.328
110,NGSD_NGDP,1983,21.644
163,NGSD_NGDP,1983,
119,NGSD_NGDP,1983,21.382
123,NGSD_NGDP,1983,24.73
998,NGSD_NGDP,1983,21.036
510,NGSD_NGDP,1983,20.748
200,NGSD_NGDP,1983,20.267
505,NGSD_NGDP,1983,24.062
903,NGSD_NGDP,1983,21.976
205,NGSD_NGDP,1983,16.888
400,NGSD_NGDP,1983,22.247
603,NGSD_NGDP,1983,13.144
1,NID_NGDP,1983,24.157
110,NID_NGDP,1983,23.955
163,NID_NGDP,1983,
119,NID_NGDP,1983,23.857
123,NID_NGDP,1983,25.888
998,NID_NGDP,1983,23.68
510,NID_NGDP,1983,35.101
200,NID_NGDP,1983,24.871
505,NID_NGDP,1983,28.095
903,NID_NGDP,1983,
205,NID_NGDP,1983,17.897
400,NID_NGDP,1983,30.65
603,NID_NGDP,1983,19.639
1,PCPIPCH,1983,13.421
110,PCPIPCH,1983,6.074
163,PCPIPCH,1983,
119,PCPIPCH,1983,4.844
123,PCPIPCH,1983,11.776
998,PCPIPCH,1983,9.24
510,PCPIPCH,1983,7.241
200,PCPIPCH,1983,30.114
505,PCPIPCH,1983,9.074
903,PCPIPCH,1983,16.965
205,PCPIPCH,1983,92.646
400,PCPIPCH,1983,8.982
603,PCPIPCH,1983,
1,PPPPC,1983,
110,PPPPC,1983,12977.294
163,PPPPC,1983,
119,PPPPC,1983,14014.689
123,PPPPC,1983,8657.962
998,PPPPC,1983,11898.476
510,PPPPC,1983,1963.197
200,PPPPC,1983,1785.446
505,PPPPC,1983,718.09
903,PPPPC,1983,5534.621
205,PPPPC,1983,5214.413
400,PPPPC,1983,4400.246
603,PPPPC,1983,1499.891
1,PPPSH,1983,
110,PPPSH,1983,64.782
163,PPPSH,1983,
119,PPPSH,1983,51.918
123,PPPSH,1983,6.024
998,PPPSH,1983,26.876
510,PPPSH,1983,3.219
200,PPPSH,1983,35.218
505,PPPSH,1983,9.563
903,PPPSH,1983,
205,PPPSH,1983,11.39
400,PPPSH,1983,7.421
603,PPPSH,1983,2.553
1,TM_RPCH,1983,1.626
110,TM_RPCH,1983,3.133
163,TM_RPCH,1983,0.326
119,TM_RPCH,1983,4.266
123,TM_RPCH,1983,-0.153
998,TM_RPCH,1983,
510,TM_RPCH,1983,6.575
200,TM_RPCH,1983,
505,TM_RPCH,1983,6.605
903,TM_RPCH,1983,
205,TM_RPCH,1983,
400,TM_RPCH,1983,1.261
603,TM_RPCH,1983,
1,TX_RPCH,1983,1.352
110,TX_RPCH,1983,2.448
163,TX_RPCH,1983,3.046
119,TX_RPCH,1983,1.524
123,TX_RPCH,1983,4.251
998,TX_RPCH,1983,
510,TX_RPCH,1983,7.5
200,TX_RPCH,1983,-2.7
505,TX_RPCH,1983,7.473
903,TX_RPCH,1983,
205,TX_RPCH,1983,6.532
400,TX_RPCH,1983,-14.863
603,TX_RPCH,1983,
1,BCA_NGDPD,1984,
110,BCA_NGDPD,1984,-0.541
163,BCA_NGDPD,1984,
119,BCA_NGDPD,1984,-0.736
123,BCA_NGDPD,1984,0.429
998,BCA_NGDPD,1984,0.346
510,BCA_NGDPD,1984,-3.196
200,BCA_NGDPD,1984,-0.857
505,BCA_NGDPD,1984,
903,BCA_NGDPD,1984,-0.095
205,BCA_NGDPD,1984,0.797
400,BCA_NGDPD,1984,-1.578
603,BCA_NGDPD,1984,-1.507
1,GGR_NGDP,1984,
110,GGR_NGDP,1984,
163,GGR_NGDP,1984,
119,GGR_NGDP,1984,
123,GGR_NGDP,1984,
998,GGR_NGDP,1984,
510,GGR_NGDP,1984,
200,GGR_NGDP,1984,
505,GGR_NGDP,1984,
903,GGR_NGDP,1984,
205,GGR_NGDP,1984,
400,GGR_NGDP,1984,
603,GGR_NGDP,1984,
1,GGSB_NPGDP,1984,
110,GGSB_NPGDP,1984,
163,GGSB_NPGDP,1984,
119,GGSB_NPGDP,1984,
123,GGSB_NPGDP,1984,
998,GGSB_NPGDP,1984,
510,GGSB_NPGDP,1984,
200,GGSB_NPGDP,1984,
505,GGSB_NPGDP,1984,
903,GGSB_NPGDP,1984,
205,GGSB_NPGDP,1984,
400,GGSB_NPGDP,1984,
603,GGSB_NPGDP,1984,
1,GGX_NGDP,1984,
110,GGX_NGDP,1984,
163,GGX_NGDP,1984,
119,GGX_NGDP,1984,
123,GGX_NGDP,1984,
998,GGX_NGDP,1984,
510,GGX_NGDP,1984,
200,GGX_NGDP,1984,
505,GGX_NGDP,1984,
903,GGX_NGDP,1984,
205,GGX_NGDP,1984,
400,GGX_NGDP,1984,
603,GGX_NGDP,1984,
1,GGXWDG_NGDP,1984,
110,GGXWDG_NGDP,1984,
163,GGXWDG_NGDP,1984,
119,GGXWDG_NGDP,1984,
123,GGXWDG_NGDP,1984,
998,GGXWDG_NGDP,1984,
510,GGXWDG_NGDP,1984,
200,GGXWDG_NGDP,1984,
505,GGXWDG_NGDP,1984,
903,GGXWDG_NGDP,1984,
205,GGXWDG_NGDP,1984,
400,GGXWDG_NGDP,1984,
603,GGXWDG_NGDP,1984,
1,LUR,1984,
110,LUR,1984,7.506
163,LUR,1984,
119,LUR,1984,7.281
123,LUR,1984,4.966
998,LUR,1984,
510,LUR,1984,
200,LUR,1984,
505,LUR,1984,
903,LUR,1984,
205,LUR,1984,
400,LUR,1984,
603,LUR,1984,
1,NGDP_RPCH,1984,4.632
110,NGDP_RPCH,1984,4.811
163,NGDP_RPCH,1984,
119,NGDP_RPCH,1984,4.975
123,NGDP_RPCH,1984,6.548
998,NGDP_RPCH,1984,2.555
510,NGDP_RPCH,1984,4.552
200,NGDP_RPCH,1984,4.3
505,NGDP_RPCH,1984,7.407
903,NGDP_RPCH,1984,4.115
205,NGDP_RPCH,1984,3.874
400,NGDP_RPCH,1984,1.042
603,NGDP_RPCH,1984,
1,NGSD_NGDP,1984,22.572
110,NGSD_NGDP,1984,23.063
163,NGSD_NGDP,1984,
119,NGSD_NGDP,1984,22.753
123,NGSD_NGDP,1984,27.075
998,NGSD_NGDP,1984,21.533
510,NGSD_NGDP,1984,21.514
200,NGSD_NGDP,1984,20.852
505,NGSD_NGDP,1984,24.19
903,NGSD_NGDP,1984,21.16
205,NGSD_NGDP,1984,17.521
400,NGSD_NGDP,1984,23.177
603,NGSD_NGDP,1984,13.848
1,NID_NGDP,1984,25.127
110,NID_NGDP,1984,25.335
163,NID_NGDP,1984,
119,NID_NGDP,1984,25.429
123,NID_NGDP,1984,26.718
998,NID_NGDP,1984,23.878
510,NID_NGDP,1984,31.598
200,NID_NGDP,1984,24.386
505,NID_NGDP,1984,27.905
903,NID_NGDP,1984,26.268
205,NID_NGDP,1984,18.31
400,NID_NGDP,1984,27.685
603,NID_NGDP,1984,19.805
1,PCPIPCH,1984,13.958
110,PCPIPCH,1984,6.485
163,PCPIPCH,1984,
119,PCPIPCH,1984,4.643
123,PCPIPCH,1984,18.109
998,PCPIPCH,1984,9.934
510,PCPIPCH,1984,13.94
200,PCPIPCH,1984,32.358
505,PCPIPCH,1984,9.283
903,PCPIPCH,1984,32.107
205,PCPIPCH,1984,97.291
400,PCPIPCH,1984,7.725
603,PCPIPCH,1984,
